case,label,DSC,HD,HD95,ASSD,RVE,absRVE,n_pred,n_ref
LISA_0003,1,0.37089201877934275,4.242640687119285,3.4641016151377544,1.7481896713863319,0.09233791748526522,0.09233791748526522,1112,1018
LISA_0003,2,0.3837994214079074,4.898979485566356,3.4419800914203877,1.629677929600467,0.37844036697247707,0.37844036697247707,1202,872
LISA_0005,1,0.2864145658263305,6.164414002968976,4.242640687119285,2.030983837555828,-0.5070569785676947,0.5070569785676947,943,1913
LISA_0005,2,0.6038915913829048,5.744562646538029,3.3166247903554,1.2948656730403445,-0.2990543735224586,0.2990543735224586,1186,1692
LISA_0007,1,0.6745144202472042,4.47213595499958,3.0,0.9354434231176941,0.7852459016393443,0.7852459016393443,1089,610
LISA_0007,2,0.7313019390581718,4.47213595499958,3.0,0.8291263320007649,0.6466275659824047,0.6466275659824047,1123,682
LISA_0014,1,0.7495429616087751,2.449489742783178,1.4142135623730951,0.7511422820799428,0.044859813084112146,0.044859813084112146,1118,1070
LISA_0014,2,0.7011445527766003,2.23606797749979,1.7320508075688772,0.872437502192892,0.09502664298401421,0.09502664298401421,1233,1126
LISA_0021,1,0.3079710144927536,8.306623862918075,7.0,2.578622972711017,-0.4183381088825215,0.4183381088825215,812,1396
LISA_0021,2,0.34211701652523446,6.0,5.0990195135927845,2.259498859029639,-0.4912398921832884,0.4912398921832884,755,1484
LISA_0029,1,0.5949367088607594,5.0990195135927845,3.0,1.3040722706859027,0.06607019958706126,0.06607019958706126,1549,1453
LISA_0029,2,0.7991927346115035,3.0,1.4142135623730951,0.6615181028085936,-0.08564069542820348,0.08564069542820348,1420,1553
LISA_0031,1,0.7582575394925802,2.449489742783178,2.0,0.7243506909887989,0.3314732142857143,0.3314732142857143,1193,896
LISA_0031,2,0.8476881233000907,2.449489742783178,1.4142135623730951,0.4704350028474447,0.05783582089552239,0.05783582089552239,1134,1072
LISA_0038,1,0.7710542732376794,2.449489742783178,1.4142135623730951,0.809526540103394,-0.17425968109339407,0.17425968109339407,1450,1756
LISA_0038,2,0.8258410241143197,3.1622776601683795,1.4142135623730951,0.6255520670264426,-0.17742810634834508,0.17742810634834508,1516,1843
LISA_0041,1,0.48067463106113845,5.830951894845301,4.242640687119285,1.4120553639337072,-0.21679197994987467,0.21679197994987467,625,798
LISA_0041,2,0.6078132927447996,6.4031242374328485,4.123105625617661,1.2714716553100276,-0.4553291536050157,0.4553291536050157,695,1276
LISA_0043,1,0.7549295774647887,4.123105625617661,2.23606797749979,0.7994073156718975,-0.1282952548330404,0.1282952548330404,992,1138
LISA_0043,2,0.6923682140047207,6.557438524302,3.7933259094191647,1.0851171251100526,-0.3098404255319149,0.3098404255319149,1038,1504
LISA_0045,1,0.8128342245989305,2.23606797749979,1.4142135623730951,0.6694866086693693,0.06744057490326147,0.06744057490326147,1931,1809
LISA_0045,2,0.7900650502661147,4.898979485566356,2.23606797749979,0.7556495435301873,-0.06853226727584237,0.06853226727584237,1631,1751
LISA_0052,1,0.6591458501208702,4.123105625617661,2.23606797749979,0.9833274061612794,0.05293631100082713,0.05293631100082713,1273,1209
LISA_0052,2,0.7812006319115324,3.1622776601683795,2.0,0.6942167100750694,0.09602649006622517,0.09602649006622517,1324,1208
LISA_0054,1,0.869281045751634,1.4142135623730951,1.0,0.40414959369226,-0.023985239852398525,0.023985239852398525,1058,1084
LISA_0054,2,0.8135274776890559,2.23606797749979,1.4142135623730951,0.5446117235491577,0.0009398496240601503,0.0009398496240601503,1065,1064
LISA_0063,1,0.7364690721649485,3.3166247903554,2.23606797749979,0.8650285286759637,-0.21506612995974697,0.21506612995974697,1365,1739
LISA_0063,2,0.708613317043372,3.605551275463989,2.23606797749979,0.9720650205375337,-0.20799124247400108,0.20799124247400108,1447,1827
LISA_1009,1,0.8244942591580099,2.23606797749979,1.4142135623730951,0.4959511962531886,0.06900452488687783,0.06900452488687783,945,884
LISA_1009,2,0.7809293904646952,2.23606797749979,1.4142135623730951,0.6139880635474864,0.06351183063511831,0.06351183063511831,854,803
LISA_1010,1,0.645448758752387,2.23606797749979,1.7320508075688772,0.8893235271135975,-0.10265700483091787,0.10265700483091787,743,828
LISA_1010,2,0.5883084577114428,3.1622776601683795,2.23606797749979,1.0573193153046208,0.05102040816326531,0.05102040816326531,824,784
